2026-02-14 06:45:02,789 p=1551879 u=prod n=ansible INFO| Starting galaxy collection install process
2026-02-14 06:45:02,955 p=1551879 u=prod n=ansible INFO| Process install dependency map
2026-02-14 06:45:08,311 p=1551879 u=prod n=ansible INFO| Starting collection install process
2026-02-14 06:45:08,363 p=1551879 u=prod n=ansible INFO| Downloading https://galaxy.ansible.com/api/v3/plugin/ansible/content/published/collections/artifacts/ansible-posix-1.5.4.tar.gz to /tmp/ansible/ansible-local-1551879eyjtg4d3/tmpzi9exetb/ansible-posix-1.5.4-lvno4e14
2026-02-14 06:45:09,317 p=1551879 u=prod n=ansible INFO| Installing 'ansible.posix:1.5.4' to '/home/prod/Workspaces/projects/deploy-system-unified/.collections/ansible_collections/ansible/posix'
2026-02-14 06:45:09,470 p=1551879 u=prod n=ansible INFO| ansible.posix:1.5.4 was installed successfully
2026-02-14 06:45:09,471 p=1551879 u=prod n=ansible INFO| 'ansible.utils:6.0.1' is already installed, skipping.
2026-02-14 06:45:09,471 p=1551879 u=prod n=ansible INFO| 'community.general:12.3.0' is already installed, skipping.
2026-02-14 06:45:09,516 p=1551879 u=prod n=ansible INFO| Downloading https://galaxy.ansible.com/api/v3/plugin/ansible/content/published/collections/artifacts/community-crypto-2.17.0.tar.gz to /tmp/ansible/ansible-local-1551879eyjtg4d3/tmpzi9exetb/community-crypto-2.17.0-vpsei9jj
2026-02-14 06:45:10,968 p=1551879 u=prod n=ansible INFO| Installing 'community.crypto:2.17.0' to '/home/prod/Workspaces/projects/deploy-system-unified/.collections/ansible_collections/community/crypto'
2026-02-14 06:45:11,321 p=1551879 u=prod n=ansible INFO| community.crypto:2.17.0 was installed successfully
2026-02-14 06:45:11,321 p=1551879 u=prod n=ansible INFO| 'community.docker:5.0.5' is already installed, skipping.
2026-02-14 06:45:11,321 p=1551879 u=prod n=ansible INFO| 'containers.podman:1.18.1' is already installed, skipping.
2026-02-14 06:45:11,365 p=1551879 u=prod n=ansible INFO| Downloading https://galaxy.ansible.com/api/v3/plugin/ansible/content/published/collections/artifacts/community-sops-1.6.0.tar.gz to /tmp/ansible/ansible-local-1551879eyjtg4d3/tmpzi9exetb/community-sops-1.6.0-wlyxyw3j
2026-02-14 06:45:12,726 p=1551879 u=prod n=ansible INFO| Installing 'community.sops:1.6.0' to '/home/prod/Workspaces/projects/deploy-system-unified/.collections/ansible_collections/community/sops'
2026-02-14 06:45:12,894 p=1551879 u=prod n=ansible INFO| community.sops:1.6.0 was installed successfully
2026-02-14 06:45:12,895 p=1551879 u=prod n=ansible INFO| 'community.library_inventory_filtering_v1:1.1.5' is already installed, skipping.
2026-02-14 06:45:13,728 p=1552140 u=prod n=ansible WARNING| [WARNING]: Collection at '/usr/lib/python3.14/site-packages/ansible/_internal/ansible_collections/ansible/_protomatter' does not have a MANIFEST.json file, nor has it galaxy.yml: cannot detect version.

